hostname,score,sources,label,level,http_status,mx
educacio.gencat.cat,6,wikidata;wikidata;wikidata;wikidata,Departament d'Educació de la Generalitat de Catalunya | Ministry of Education of Catalonia,central-1,301,none
empresa.gencat.cat,6,wikidata;wikidata,Ministry of Business and Knowledge of Catalonia,central-1,301,none
escolapia.cat,6,wikidata;wikidata,Piarist Province of Catalonia,,200,10 aspmx.l.google.com.; 30 aspmx3.googlemail.com.; 20 alt1.aspmx.l.google.com.; 30 aspmx2.googlemail.com.; 20 alt2.aspmx.l.google.com.
escolapiosbetania.org,6,wikidata;wikidata,Piarist Province of Bethany,,200,10 mail.escolapiosbetania.org.
escolapiosemaus.org,6,wikidata;wikidata,Piarist Province of Emmaus,,301,10 escolapiosemaus-org.mail.protection.outlook.com.
euskadi.eus,6,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,"Q124394603 | Basque Government | Ekonomiaren Garapen eta Lehiakortasun Saila | Ekonomiaren Garapen, Jasangarritasun eta Ingurumen Saila | Department of Health",central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mxa-00a30b02.gslb.pphosted.com.; 10 mxb-00a30b02.gslb.pphosted.com.
exteriors.gencat.cat,6,wikidata;wikidata;wikidata,Ministry for Foreign Action and European Union | Catalan Public Sector Contracts Court,central-1,301,none
gencat.cat,6,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Institut Català de les Empreses Culturals | Ministry of Health of the Government of Catalonia | Catalan Food Safety Agency | Economy and Treasury ministry of Catalunya,central-1,200,5 mx2.hc489-80.eu.iphmx.com.; 5 mx1.hc489-80.eu.iphmx.com.
govern.cat,6,wikidata;wikidata,Government of Catalonia,central-1,403,none
hermanoscapuchinos.org,6,wikidata;wikidata,Capuchin Province of Spain,,200,10 mx.serviciodecorreo.es.
igualtat.gencat.cat,6,wikidata;wikidata,Departament d'Igualtat i Feminisme de la Generalitat de Catalunya,central-1,301,none
ihobe.eus,6,wikidata;wikidata,"Ingurumen Jarduketarako Sozietate Publikoa, IHOBE, S.A.",,ConnectException,0 ihobe-eus.mail.protection.outlook.com.
industria.ejgv.euskadi.net,6,wikidata;wikidata,Department of Economic Development and Competitiveness,,SSLHandshakeException: (handshake_failure) received handshake warning: unrecognized_name,none
interior.gencat.cat,6,wikidata;wikidata;wikidata;wikidata,Generalitat of Catalunya Firefighters | Ranger Corps | Ministry of Home Affairs of Catalonia,central-1,301,none
justicia.gencat.cat,6,wikidata;wikidata;wikidata;wikidata,"Ministry of Justice, Rights and Memory | Ministry of Justice of Catalonia",central-1,301,none
larioja.org,6,wikidata;wikidata;wikidata,Q126902243 | Government of La Rioja,central-1,301,10 mx2.riojasalud.es.
legebiltzarra.eus,6,wikidata;wikidata;wikidata;wikidata,Basque Parliament,central-1,301,10 relay4.legebiltzarra.eus.; 5 relay3.legebiltzarra.eus.
ofminmaculada.org,6,wikidata;wikidata,Franciscan province of the Immaculated Conception,,200,0 ofminmaculada.org.
ofmsantiago.com,6,wikidata;wikidata,Franciscan province of Santiago,,200,none
parlament.cat,6,wikidata;wikidata;wikidata,Parliament of Catalonia,central-1,200,5 smtp.parlament.cat.; 10 parlament-cat.mail.protection.outlook.com.
parlamentodegalicia.gal,6,wikidata;wikidata,Parliament of Galicia,central-1,ConnectException,30 poster2i.iberlayer.com.; 10 poster1i.iberlayer.com.; 40 poster3i.iberlayer.com.; 20 poster4i.iberlayer.com.; 50 parlamentodegalicia-gal.mail.protection.outlook.com.
portdebarcelona.cat,6,wikidata;wikidata,Port Authority of Barcelona | Port of Barcelona,,ConnectException,10 portdebarcelona-cat.mail.protection.outlook.com.
puertocoruna.com,6,wikidata;wikidata,Port Authority of La Coruña,,301,20 mxr2.mundo-r.com.; 10 mxr.mundo-r.com.
salesianos.edu,6,wikidata;wikidata,Salesian Province of Mary Help of Christians,,301,5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
