subdomain,http_status,mx
mail.pme.gouv.ml,Could not resolve host: mail.pme.gouv.ml,none
mail.police.gouv.ml,Failed to connect to mail.police.gouv.ml port 443 after 359 ms: Could not connect to server,none
mail.portail.gouv.ml,Could not resolve host: mail.portail.gouv.ml,none
mail.primature.gouv.ml,Could not resolve host: mail.primature.gouv.ml,none
mail.reconciliation.gouv.ml,Could not resolve host: mail.reconciliation.gouv.ml,none
mail.reforme-justice.gouv.ml,Could not resolve host: mail.reforme-justice.gouv.ml,none
mail.reformes.gouv.ml,Could not resolve host: mail.reformes.gouv.ml,none
mail.seagriculture.gouv.ml,Could not resolve host: mail.seagriculture.gouv.ml,none
mail.securite.gouv.ml,200,none
mail.sgg.gouv.ml,Could not resolve host: mail.sgg.gouv.ml,none
mail.solidarite.gouv.ml,Could not resolve host: mail.solidarite.gouv.ml,none
mail.tourisme.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'mail.tourisme.gouv.ml',none
mail.transport.gouv.ml,Could not resolve host: mail.transport.gouv.ml,none
mail.vraioufaux.gouv.ml,Could not resolve host: mail.vraioufaux.gouv.ml,none
maliens-exterieur.gouv.ml,403,none
malinumerique2020.gouv.ml,Could not resolve host: malinumerique2020.gouv.ml,none
manage.hosting.gouv.ml,Could not resolve host: manage.hosting.gouv.ml,none
matp.gouv.ml,Could not resolve host: matp.gouv.ml,none
mct.gouv.ml,Could not resolve host: mct.gouv.ml,none
mef.gouv.ml,Resolving timed out after 3001 milliseconds,0 smtpag.gouv.ml.; 5 smtpcitad.gouv.ml.
menp.gouv.ml,Could not resolve host: menp.gouv.ml,none
miic.gouv.ml,Operation timed out after 3001 milliseconds with 0 bytes received,none
mines-energie-eau.gouv.ml,Could not resolve host: mines-energie-eau.gouv.ml,none
mines.gouv.ml,403,none
mj.gouv.ml,Could not resolve host: mj.gouv.ml,none
mopti.gouv.ml,Connection timed out after 3002 milliseconds,none
mpfef.gouv.ml,Operation timed out after 3000 milliseconds with 0 bytes received,10 smtpcitad.gouv.ml.; 5 smtpag.gouv.ml.
mspc.securite.gouv.ml,Could not resolve host: mspc.securite.gouv.ml,none
