hostname,http_status,mx
liban.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 SMTP.GOOGLE.COM.
liberianembassyit.org,500,10 mail.register.it.
librari.beniculturali.it,ConnectException,none
lnx.sudafrica.it,200,none
mailand.diplo.de,301,10 mx1.bund.de.; 10 mx2.bund.de.
meroma-it.com,200,none
mfa.gr,403,none
mi.camcom.it,SSLHandshakeException: (unrecognized_name) Received fatal alert: unrecognized_name,5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 aspmx3.googlemail.com.; 10 aspmx2.googlemail.com.; 1 aspmx.l.google.com.
milan.europarl.europa.eu,302,none
milanomet.it,HttpConnectTimeoutException: HTTP connect timed out,none
minambiente.it,301,10 mase-gov-it.mail.protection.outlook.com.
mofaic.gov.ae,HttpConnectTimeoutException: HTTP connect timed out,none
monembrome.mn,ConnectException,none
museicivici.comune.como.it,HttpConnectTimeoutException: HTTP connect timed out,none
museicivici.comune.verona.it,HttpConnectTimeoutException: HTTP connect timed out,none
museometaponto.beniculturali.it,HttpConnectTimeoutException: HTTP connect timed out,none
mvep.hr,ConnectException,10 mail.mvep.hr.
mzv.cz,302,50 mzvczemta05.mzv.cz.; 10 mzvczemta06.mzv.cz.
mzv.sk,HttpConnectTimeoutException: HTTP connect timed out,10 mail.gov.sk.
na.archiworld.it,301,dig error
nigerianrome.org,200,none
norway.no,301,none
nunziatura.it,HttpConnectTimeoutException: HTTP connect timed out,none
odg.it,HttpConnectTimeoutException: HTTP connect timed out,5 odg-it.mail.protection.outlook.com.
oed.piemonte.it,HttpConnectTimeoutException: HTTP connect timed out,0 oed-piemonte-it.mail.protection.outlook.com.
ofmsalu.it,HttpConnectTimeoutException: HTTP connect timed out,10 mx.ofmsalu.it.
ogs.it,301,1 ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.
ospedalideicolli.it,HttpConnectTimeoutException: HTTP connect timed out,none
ovi.cnr.it,HttpConnectTimeoutException: HTTP connect timed out,20 mail2.ovi.cnr.it.; 10 ovisun199.ovi.cnr.it.
paleografidiplomatisti.org,301,10 mx.paleografidiplomatisti.org.
parchialpicozie.it,HttpConnectTimeoutException: HTTP connect timed out,none
parcoalcantara.it,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching parcoalcantara.it found.,none
parcodelpo.eu,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching parcodelpo.eu found.,none
parcodelpoalessandriavercelli.it,HttpConnectTimeoutException: HTTP connect timed out,none
parcomonviso.eu,301,none
parcopopiemontese.it,ConnectException,0 parcopopiemontese-it.mail.protection.outlook.com.
parcosila.it,HttpConnectTimeoutException: HTTP connect timed out,none
parcoticinolagomaggiore.it,SSLHandshakeException: Remote host terminated the handshake,none
plugandpay.it,HttpConnectTimeoutException: HTTP connect timed out,none
poliziadistato.it,301,5 poliziadistato-it.mail.protection.outlook.com.
polizialocale.regione.puglia.it,HttpConnectTimeoutException: HTTP connect timed out,none
portale.fnomceo.it,200,none
portici.enea.it,301,none
portidiroma.it,200,none
porto.genova.it,ConnectException,none
portsofgenoa.com,301,none
primolevi.it,301,none
provincia.bz.it,308,0 mx08-0067de01.pphosted.com.; 0 mx07-0067de01.pphosted.com.
provinz.bz.it,308,0 mx07-0067de01.pphosted.com.; 0 mx08-0067de01.pphosted.com.
psy.it,301,10 psy-it.mail.protection.outlook.com.
region.tnst.it,301,1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
regionalrat.tnst.it,HttpConnectTimeoutException: HTTP connect timed out,0 regionalrat-tnst-it.mail.protection.outlook.com.
regione.abruzzo.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 smtp2.regione.abruzzo.it.
regione.basilicata.it,HttpConnectTimeoutException: HTTP connect timed out,none
