hostname,mentions,evidence
govet.international,1,Zentralstelle der Bundesregierung für internationale Berufsbildungskooperation im Bundesinstitut für Berufsbildung
grs.de,1,Gesellschaft für Anlagen und Reaktorsicherheit (gGmbH)
gsi.de,1,GSI Helmholtzzentrum für Schwerionenforschung GmbH
gsp-sipo.de,1,Gesellschaft für Sicherheitspolitik e. V.
gtai.de,1,Germany Trade and Invest - Gesellschaft für Außenwirtschaft und Standortmarketing mbH
gvg.org,1,Gesellschaft für Versicherungswissenschaft und -gestaltung e. V.
gwk-bonn.de,1,Büro der Gemeinsamen Wissenschaftskonferenz
hambacher-schloss.de,1,Stiftung Hambacher Schloss
hamburg.bwkrankenhaus.de,1,Bundeswehrkrankenhaus-Hamburg
havariekommando.de,1,Havariekommando
hdg.de,1,Stiftung Haus der Geschichte der Bundesrepublik Deutschland
helmholtz-berlin.de,1,Helmholtz-Zentrum Berlin für Materialien und Energie GmbH
helmholtz-hzi.de,1,Helmholtz-Zentrum für Infektionsforschung GmbH
helmholtz-muenchen.de,1,Helmholtz Zentrum München Deutsches Forschungszentrum für Gesundheit und Umwelt GmbH
helmholtz.de,1,Helmholtz-Gemeinschaft
helmut-schmidt.de,1,Bundeskanzler Helmut Schmidt Stiftung
herder-institut.de,1,Herder Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft
hereon.de,1,Helmholtz-Zentrum Hereon GmbH
hhi.fraunhofer.de,1,Fraunhofer-Institut für Nachrichtentechnik Heinrich-Hertz-Institut HHI
hsbund.de,2,Hochschule des Bundes für öffentliche Verwaltung | Hochschule des Bundes für öffentliche Verwaltung - Fachbereich Bundeswehrverwaltung
hss.de,1,Hanns-Seidel-Stiftung e. V.
hsu-hh.de,1,Helmut-Schmidt-Universität Universität der Bundeswehr Hamburg
humboldt-foundation.de,1,Alexander von Humboldt-Stiftung
hzdr.de,1,Helmholtz-Zentrum Dresden-Rossendorf e. V.
iaf.fraunhofer.de,1,Fraunhofer-Institut für Angewandte Festkörperphysik IAF
iais.fraunhofer.de,1,Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme
iamo.de,1,Leibniz-Institut für Agrarentwicklung in Transformationsökonomien
iao.fraunhofer.de,1,Fraunhofer-Institut für Arbeitswirtschaft und Organisation
iap-kborn.de,1,Leibniz-Institut für Atmosphärenphysik an der Universität Rostock
iap.fraunhofer.de,1,Fraunhofer-Institut für Angewandte Polymerforschung
ibmt.fraunhofer.de,1,Fraunhofer-Institut für Biomedizinische Technik
ibp.fraunhofer.de,1,Fraunhofer-Institut für Bauphysik
ict.fraunhofer.de,1,Fraunhofer-Institut für Chemische Technologie ICT
idmt.fraunhofer.de,1,Fraunhofer-Institut für Digitale Medientechnologie IDMT
idos-research.de,1,German Institute of Development and Sustainability
ieg-mainz.de,1,Leibniz-Institut für Europäische Geschichte
iese.fraunhofer.de,1,Fraunhofer-Institut für Experimentelles Software Engineering
ifa.de,1,Institut für Auslandsbeziehungen e. V.
ifado.de,1,Leibniz-Institut für Arbeitsforschung an der TU Dortmund
ifam.fraunhofer.de,1,Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung IFAM
iff.fraunhofer.de,1,Fraunhofer-Institut für Fabrikbetrieb und -automatisierung
ifo.de,1,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e. V.
ifw-dresden.de,1,Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden
ifw-kiel.de,1,Kiel Institut für Weltwirtschaft
ifz-muenchen.de,1,Institut für Zeitgeschichte München - Berlin
igb-berlin.de,1,Leibniz-Institut für Gewässerökologie und Binnenfischerei im Forschungsverbund Berlin
igd.fraunhofer.de,1,Fraunhofer-Institut für Graphische Datenverarbeitung - Institutsteil Rostock
igzev.de,1,Leibniz-Institut für Gemüse- und Zierpflanzenbau Großbeeren/Erfurt e. V.
ihp-microelectronics.com,1,IHP GmbH - Leibniz-Institut für innovative Mikroelektronik
iis.fraunhofer.de,1,Fraunhofer-Institut für Integrierte Schaltungen
iisb.fraunhofer.de,1,Fraunhofer-Institut für Integrierte Systeme und Bauelementetechnologie
ijab.de,1,IJAB - Fachstelle für Internationale Jugendarbeit der Bundesrepublik Deutschland e. V.
ikgn.de,1,Institut für Kultur und Geschichte der Deutschen in Nordosteuropa e. V.
ikgs.de,1,Institut für deutsche Kultur und Geschichte Südosteuropas e. V.
iks.fraunhofer.de,1,Fraunhofer Institut für Kognitive Systeme
ikts.fraunhofer.de,1,Fraunhofer-Institut für Keramische Technologien und Systeme IKTS
ikz-berlin.de,1,Leibniz-Institut für Kristallzüchtung im Forschungsverbund Berlin e. V.
ilt.fraunhofer.de,1,Fraunhofer-Institut für Lasertechnik ILT
ime.fraunhofer.de,1,Fraunhofer-Institut für Molekularbiologie und Angewandte Oekologie IME
iml.fraunhofer.de,1,Fraunhofer-Institut für Materialfluss und Logistik
ims.fraunhofer.de,1,Fraunhofer-Institut für Mikroelektronische Schaltungen und Systeme
imw.fraunhofer.de,1,Fraunhofer-Zentrum für Internationales Management und Wissensökonomie
imws.fraunhofer.de,1,Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen
inm-gmbh.de,1,Leibniz-Institut für Neue Materialien gGmbH
inp-greifswald.de,1,Leibniz-Institut für Plasmaforschung und Technologie e. V.
instmikrobiobw.de,1,Institut für Mikrobiologie der Bundeswehr
instpraevmedbw.de,1,Institut für Präventivmedizin der Bundeswehr -Krahnenberg-Kaserne-
int.fraunhofer.de,1,Fraunhofer-Institut für Naturwissenschaftlich-Technische Trendanalysen
integrationsbeauftragte.de,1,"Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration sowie Beauftragte der Bundesregierung für Antirassismus"
internationaler-bund.de,1,Internationaler Bund e.V.
io-warnemuende.de,1,Leibniz-Institut für Ostseeforschung Warnemünde
ioer.de,1,Leibniz-Institut für ökologische Raumentwicklung e.V.
iof.fraunhofer.de,1,Fraunhofer-Institut für Angewandte Optik und Feinmechanik
iom-leipzig.de,1,Leibniz-Institut für Oberflächenmodifizierung e.V.
iosb.fraunhofer.de,1,"Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung"
ipa.fraunhofer.de,1,Fraunhofer-Institut für Produktionstechnik und Automatisierung
ipb-halle.de,1,Leibniz-Institut für Pflanzenbiochemie
ipfdd.de,1,Leibniz-Institut für Polymerforschung Dresden e. V.
ipht-jena.de,1,Leibniz-Institut für Photonische Technologien e. V.
ipk-gatersleben.de,1,Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung
ipk.fraunhofer.de,1,Fraunhofer-Institut für Produktionsanlagen und Konstruktionstechnik
ipm.fraunhofer.de,1,Fraunhofer-Institut für Physikalische Messtechnik IPM
ipms.fraunhofer.de,2,Fraunhofer-Center Nanoelektronische Technologien | Fraunhofer-Institut für Photonische Mikrosysteme
ipp.mpg.de,1,Max-Planck-Institut für Plasmaphysik
ipt.fraunhofer.de,1,Fraunhofer-Institut für Produktionstechnologie
irb.fraunhofer.de,1,Fraunhofer-Informationszentrum für RAUM und BAU IRB
irs-net.de,1,Leibniz-Institut für Raumbezogene Sozialforschung
irz.de,1,Deutsche Stiftung für internationale rechtliche Zusammenarbeit e. V.
isas.de,1,Leibniz-Institut für Analytische Wissenschaften - ISAS - e. V.
isc.fraunhofer.de,1,Fraunhofer-Institut für Silicatforschung
ise.fraunhofer.de,1,Fraunhofer-Institut für Solare Energiesysteme
isi.fraunhofer.de,1,Fraunhofer-Institut für System- und Innovationsforschung ISI
isit.fraunhofer.de,1,Fraunhofer-Institut für Siliziumtechnologie
