hostname,score,sources,label,level,http_status,mx
nfc.polisen.se,4,wikidata,National Laboratory of Forensic Science,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching nfc.polisen.se found.,10 mail2.polisen.se.; 10 mail1.polisen.se.
nfh.se,4,wikidata,The National Swedish Handicraft Council,central,302,none
norrasjukvardsregionforbundet.se,4,wikidata,Northern healthcare region,,301,none
norrbotten.se,4,wikidata,Region Norrbotten,,301,5 norrbotten-se.mail.protection.outlook.com.
nrm.se,4,wikidata,Swedish Museum of Natural History,central,301,30 se.mx3.mailanyone.net.; 40 se.mx4.mx25.net.; 20 se.mx2.mx25.net.; 10 se.mx1.mailanyone.net.
nunciature.se,4,wikidata,Apostolic Nunciature to Sweden,central,ConnectException,none
oks.se,4,wikidata,The National Board of Appeal for Student Aid,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 oks-se.mail.protection.outlook.com.
onep.se,4,wikidata,The Ethics Review Appeals Board,central,301,0 onep-se.mail.protection.outlook.com.
onh.se,4,wikidata,The Higher Education Appeals Board,central,301,20 mx02.advania.cloud.; 10 mx01.advania.cloud.
oredlighetsprovning.se,4,wikidata,The Swedish National Board for Assessment of Research Misconduct,central,301,30 se.mx3.mailanyone.net.; 40 se.mx4.mx25.net.; 20 se.mx2.mx25.net.; 10 se.mx1.mailanyone.net.
oru.se,4,wikidata,Örebro University,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 oru-se.mail.protection.outlook.com.
oskarshamn.se,4,wikidata,Q80207116,central,302,5 oskarshamn-se.mail.protection.outlook.com.
osthammar.se,4,wikidata,Q80207112,central,301,10 mx.itcentrum.se.
overklagandenamnden.se,4,wikidata,The Board of Appeal for Education,central,200,10 mx2.improve.nordlo.cloud.; 10 mx1.improve.nordlo.cloud.
pensionsmyndigheten.se,4,wikidata,Swedish Pensions Agency,central,301,30 smtp4.pensionsmyndigheten.se.; 20 smtp3.pensionsmyndigheten.se.
prv.se,4,wikidata,Swedish Patent and Registration Office,central,301,10 prv-se.mail.protection.outlook.com.
raa.se,4,wikidata,Swedish National Heritage Board,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 raa-se.mail.protection.outlook.com.
rattshjalp.se,4,wikidata,National Legal Aid Authority,central,301,none
regelradet.se,4,wikidata,Regelrådet,,301,0 regelradet-se.mail.protection.outlook.com.
regionblekinge.se,4,wikidata,Region Blekinge,,200,20 mx1.regionblekinge.se.; 50 smtp.ltblekinge.se.; 20 mx2.regionblekinge.se.
regiondalarna.se,4,wikidata,Region Dalarna,,301,10 regiondalarna-se.mail.protection.outlook.com.
regiongavleborg.se,4,wikidata,Region Gävleborg,,301,10 regiongavleborg-se.mail.protection.outlook.com.
regionhalland.se,4,wikidata,Region Halland,,301,10 regionhalland-se.mail.protection.outlook.com.
regionjh.se,4,wikidata,Region Jämtland Härjedalen,,200,10 regionjh-se.mail.protection.outlook.com.
regionkalmar.se,4,wikidata,Region Kalmar County,,200,5 mx1.regionkalmar.se.; 5 mx2.regionkalmar.se.
regionkronoberg.se,4,wikidata,Region Kronoberg,,400,0 regionkronoberg-se.mail.protection.outlook.com.
regionorebrolan.se,4,wikidata,Region Örebro County,,302,5 regionorebrolan-se.mail.protection.outlook.com.
regionostergotland.se,4,wikidata,Region Östergötland,,301,10 mailgw1.regionostergotland.se.; 10 mailgw2.regionostergotland.se.
regionsormland.se,4,wikidata,Region Sörmland,,200,10 regionsormland-se.mail.protection.outlook.com.
regionuppsala.se,4,wikidata,Region Uppsala,,200,10 regionuppsala-se.mail.protection.outlook.com.
regionvarmland.se,4,wikidata,Region Värmland,,200,10 regionvarmland-se.mail.protection.outlook.com.
regionvasterbotten.se,4,wikidata,Region Västerbotten,,200,10 regionvasterbotten-se.mail.protection.outlook.com.
regionvastmanland.se,4,wikidata,Region Västmanland,,405,10 regionvastmanland-se.mail.protection.outlook.com.
rekryteringsmyndigheten.se,4,wikidata,Swedish Defence Recruitment Agency,central,HttpConnectTimeoutException: HTTP connect timed out,none
revisorsinspektionen.se,4,wikidata,Swedish Inspectorate of Auditors,central,302,10 spamfilter.revisorsinspektionen.se.
riksarkivet.se,4,wikidata,National Archives of Sweden,central,200,10 mail01.riksarkivet.se.
riksbank.se,4,wikidata,Sveriges Riksbank,,301,10 riksbank-se.mail.protection.outlook.com.
riksgalden.se,4,wikidata,Swedish National Debt Office,central,302,10 mx1.riksgalden.se.; 10 mx2.riksgalden.se.
rjl.se,4,wikidata,Region Jönköping County,,302,10 mail3.rjl.se.
rmv.se,4,wikidata,National Board of Forensic Medicine,central,301,10 mx1.rmv.se.; 10 mx2.rmv.se.
rvn.se,4,wikidata,Region Västernorrland,,302,10 rvn-se.mail.protection.outlook.com.
rwandaembassy.se,4,wikidata,"Embassy of Rwanda, Stockholm",central,301,1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
