subdomain,parent_domain,http_status
mail.mouwahidoundruze.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'mail.mouwahidoundruze.gov.lb'"
mail.mtaylebmunicipality.gov.lb,gov.lb,"Could not resolve host: mail.mtaylebmunicipality.gov.lb"
mail.muhafazamountlebanon.gov.lb,gov.lb,"Could not resolve host: mail.muhafazamountlebanon.gov.lb"
mail.mzarib-arista.gov.lb,gov.lb,"Could not resolve host: mail.mzarib-arista.gov.lb"
mail.oept.gov.lb,gov.lb,"301"
mail.palaisunesco.gov.lb,gov.lb,"Could not resolve host: mail.palaisunesco.gov.lb"
mail.qrayeh.gov.lb,gov.lb,"Could not resolve host: mail.qrayeh.gov.lb"
mail.radioliban.gov.lb,gov.lb,"200"
mail.rayfoun.gov.lb,gov.lb,"Could not resolve host: mail.rayfoun.gov.lb"
mail.saida.gov.lb,gov.lb,"Could not resolve host: mail.saida.gov.lb"
mail.shiitecouncil.gov.lb,gov.lb,"Could not resolve host: mail.shiitecouncil.gov.lb"
mail.sinelfil.gov.lb,gov.lb,"Could not resolve host: mail.sinelfil.gov.lb"
mail.state-security.gov.lb,gov.lb,"200"
mail.tannourinemunicipality.gov.lb,gov.lb,"302"
mail.tarchich.gov.lb,gov.lb,"Could not resolve host: mail.tarchich.gov.lb"
mail.tripoli.gov.lb,gov.lb,"Could not resolve host: mail.tripoli.gov.lb"
mail.urbcomfayhaa.gov.lb,gov.lb,"302"
mail.womenaffairs.gov.lb,gov.lb,"Could not resolve host: mail.womenaffairs.gov.lb"
mail.zgharta.gov.lb,gov.lb,"Could not resolve host: mail.zgharta.gov.lb"
mail.zoukmikael.gov.lb,gov.lb,"301"
mail1.pcm.gov.lb,gov.lb,"Could not resolve host: mail1.pcm.gov.lb"
makarymarble.greenplan.gov.lb,gov.lb,"Could not resolve host: makarymarble.greenplan.gov.lb"
mastersign.greenplan.gov.lb,gov.lb,"Could not resolve host: mastersign.greenplan.gov.lb"
mayfouk-kattara.gov.lb,gov.lb,"Could not resolve host: mayfouk-kattara.gov.lb"
mechmech-jbeil.gov.lb,gov.lb,"Could not resolve host: mechmech-jbeil.gov.lb"
mechrefmunicipality.gov.lb,gov.lb,"Could not resolve host: mechrefmunicipality.gov.lb"
medixdistribution.greenplan.gov.lb,gov.lb,"Could not resolve host: medixdistribution.greenplan.gov.lb"
meet.finance.gov.lb,gov.lb,"Could not resolve host: meet.finance.gov.lb"
mfa.gov.lb,gov.lb,"SSL certificate problem: unable to get local issuer certificate"
mh-hubcas1.ogero.gov.lb,gov.lb,"Could not resolve host: mh-hubcas1.ogero.gov.lb"
mims.army.gov.lb,gov.lb,"Could not resolve host: mims.army.gov.lb"
ministryinfo.gov.lb,gov.lb,"403"
ml.civildefense.gov.lb,gov.lb,"Could not resolve host: ml.civildefense.gov.lb"
moflync.finance.gov.lb,gov.lb,"Could not resolve host: moflync.finance.gov.lb"
monit.lebarmy.gov.lb,gov.lb,"TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name"
montecarlo-travel.greenplan.gov.lb,gov.lb,"Could not resolve host: montecarlo-travel.greenplan.gov.lb"
moph.gov.lb,gov.lb,"Could not resolve host: moph.gov.lb"
morad.dguh.gov.lb,gov.lb,"Could not resolve host: morad.dguh.gov.lb"
moradga.dguh.gov.lb,gov.lb,"Could not resolve host: moradga.dguh.gov.lb"
mouwahidoundruze.gov.lb,gov.lb,"200"
mtaylebmunicipality.gov.lb,gov.lb,"Could not resolve host: mtaylebmunicipality.gov.lb"
muhafazamountlebanon.gov.lb,gov.lb,"Could not resolve host: muhafazamountlebanon.gov.lb"
mzarib-arista.gov.lb,gov.lb,"Could not resolve host: mzarib-arista.gov.lb"
nabatieh.gov.lb,gov.lb,"200"
newnajm.customs.gov.lb,gov.lb,"TLS connect error: error:0A000102:SSL routines::unsupported protocol"
nna-leb.gov.lb,gov.lb,"307"
oept.gov.lb,gov.lb,"200"
ogero.gov.lb,gov.lb,"200"
owa.dawlati.gov.lb,gov.lb,"Could not resolve host: owa.dawlati.gov.lb"
pa.justice.gov.lb,gov.lb,"200"
palaisunesco.gov.lb,gov.lb,"Could not resolve host: palaisunesco.gov.lb"
