domain,country,level,un_status,region,languages,gdp_per_capita,name,score,sources,mx
chaco.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Provincia del Chaco,,registry,
challenge.gov,USA_united_states,central,member,Americas,English,84534,,,,1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
chandigarh.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Chandigarh,,registry,
changeofaddress.gov,USA_united_states,central,member,Americas,English,84534,,,,none
chcoc.gov,USA_united_states,central,member,Americas,English,84534,,,,10 cust45693-1.in.mailcontrol.com.; 10 cust45693-2.in.mailcontrol.com.
chd.lu,LUX_luxembourg,central,member,Europe,German; French; Luxembourgish,147252,,,,10 mail1.chd.lu.; 20 mail2.chd.lu.
chiapas.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Chiapas (estado),,registry,
chihuahua.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Chihuahua (estado),,registry,
childcare.gov,USA_united_states,central,member,Americas,English,84534,,,,10 smtp2.ees.hhs.gov.; 20 smtp.ees.hhs.gov.
childreninadversity.gov,USA_united_states,central,member,Americas,English,84534,,,,none
childstats.gov,USA_united_states,central,member,Americas,English,84534,,,,none
childwelfare.gov,USA_united_states,central,member,Americas,English,84534,,,,5 childwelfare-gov.mail.protection.outlook.com.
chips.gov,USA_united_states,central,member,Americas,English,84534,,,,10 chips-gov.mail.protection.outlook.com.
chips.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Chhattisgarh infotech Promotion Society,,registry,
choosemyplate.gov,USA_united_states,central,member,Americas,English,84534,,,,none
chscotland.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Care and Health Scotland,,registry,
chubut.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Provincia del Chubut,,registry,
cia.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mail4.cia.gov.; 10 mail3.cia.gov.
ciencia.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,10 mail1.correo.gob.es.; 10 mail2.correo.gob.es.
cigie.gov,USA_united_states,central,member,Americas,English,84534,,,,0 cigie-gov.mail.protection.outlook.com.
cio.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cisa.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-00376703.gslb.gpphosted.com.; 10 mxb-00376703.gslb.gpphosted.com.
citap.gov,USA_united_states,central,member,Americas,English,84534,,,,none
citizenscience.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cjis.gov,USA_united_states,central,member,Americas,English,84534,,,,none
climate.gov,USA_united_states,central,member,Americas,English,84534,,,,none
clinicaltrial.gov,USA_united_states,central,member,Americas,English,84534,,,,none
clinicaltrials.gov,USA_united_states,central,member,Americas,English,84534,,,,10 nihcesxway4.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.
clintonlibrary.gov,USA_united_states,central,member,Americas,English,84534,,,,10 us.etp.fireeyegov.com.
cloud.gov,USA_united_states,central,member,Americas,English,84534,,,,5 alt1.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.
cmkarnataka.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Chief Minister of Karnataka,,registry,
cmofficehry.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Chief Minister's Office (Haryana),,registry,
cms.gov,USA_united_states,central,member,Americas,English,84534,,,,20 alt1.us.etp.fireeyegov.com.; 10 primary.us.etp.fireeyegov.com.; 30 alt2.us.etp.fireeyegov.com.; 40 alt3.us.etp.fireeyegov.com.
cmts.gov,USA_united_states,central,member,Americas,English,84534,,,,1 cmts-gov.mail.protection.outlook.com.
cna-alimentation.fr,FRA_france,central,member,Europe,French,48986,,,,50 fb.mail.gandi.net.; 10 spool.mail.gandi.net.
