hostname,country,label,website
universidade.df.gov.br,BRA_brazil,Universidade do Distrito Federal Jorge Amaury,http://universidade.df.gov.br/
univesp.br,BRA_brazil,Virtual University of the State of São Paulo,https://univesp.br/
usp.br,BRA_brazil,University of São Paulo,https://www.usp.br
www2.ufjf.br,BRA_brazil,Federal University of Juiz de Fora,https://www2.ufjf.br/ufjf/
www5.usp.br,BRA_brazil,University of São Paulo,https://www5.usp.br/#english
uwi.edu,BRB_barbados,University of the West Indies,https://uwi.edu
rub.edu.bt,BTN_bhutan,Royal University of Bhutan,http://www.rub.edu.bt/
athabascau.ca,CAN_canada,Athabasca University,https://www.athabascau.ca
auarts.ca,CAN_canada,Alberta University of the Arts,https://www.auarts.ca/
brocku.ca,CAN_canada,Brock University,https://brocku.ca
capilanou.ca,CAN_canada,Capilano University,https://www.capilanou.ca/
carleton.ca,CAN_canada,Carleton University,https://carleton.ca/
dal.ca,CAN_canada,Dalhousie University,https://www.dal.ca/
douglascollege.ca,CAN_canada,Douglas College,https://www.douglascollege.ca/
ecuad.ca,CAN_canada,Emily Carr University of Art and Design,https://www.ecuad.ca
macewan.ca,CAN_canada,MacEwan University,https://www.macewan.ca/
mcgill.ca,CAN_canada,McGill University,https://www.mcgill.ca/
mtroyal.ca,CAN_canada,Mount Royal University,http://www.mtroyal.ca/
queensu.ca,CAN_canada,Queen's University,https://queensu.ca/
sfu.ca,CAN_canada,Simon Fraser University,https://www.sfu.ca/
torontomu.ca,CAN_canada,Toronto Metropolitan University,https://www.torontomu.ca/
ualberta.ca,CAN_canada,University of Alberta,https://www.ualberta.ca
ubc.ca,CAN_canada,University of British Columbia,https://www.ubc.ca/
ucalgary.ca,CAN_canada,University of Calgary,https://www.ucalgary.ca/
ulaval.ca,CAN_canada,Laval University,https://www.ulaval.ca/
uleth.ca,CAN_canada,University of Lethbridge,https://www.uleth.ca/
umanitoba.ca,CAN_canada,University of Manitoba,https://umanitoba.ca/
umontreal.ca,CAN_canada,Université de Montréal,https://www.umontreal.ca/
unb.ca,CAN_canada,University of New Brunswick,https://www.unb.ca/
uottawa.ca,CAN_canada,University of Ottawa,https://www.uottawa.ca/en
upei.ca,CAN_canada,University of Prince Edward Island,http://upei.ca/
uregina.ca,CAN_canada,University of Regina,https://www.uregina.ca/
usask.ca,CAN_canada,University of Saskatchewan,https://www.usask.ca/
utoronto.ca,CAN_canada,University of Toronto,https://www.utoronto.ca/
uwaterloo.ca,CAN_canada,"United College, Waterloo",https://uwaterloo.ca/united-college
uwo.ca,CAN_canada,University of Western Ontario,https://www.uwo.ca/
york.ac.uk,CAN_canada,University of York,https://york.ac.uk/
yorku.ca,CAN_canada,York University Markham Centre Campus,https://www.yorku.ca/markham/
epfl.ch,CHE_switzerland,Swiss Federal Institute of Technology in Lausanne,https://www.epfl.ch/
ethz.ch,CHE_switzerland,ETH Zurich,https://www.ethz.ch/
unibas.ch,CHE_switzerland,University of Basel,https://www.unibas.ch/
unibe.ch,CHE_switzerland,University of Bern,https://www.unibe.ch/
unifr.ch,CHE_switzerland,University of Fribourg,https://www.unifr.ch
unige.ch,CHE_switzerland,University of Geneva,https://www.unige.ch
unil.ch,CHE_switzerland,University of Lausanne,https://www.unil.ch/
unilu.ch,CHE_switzerland,University of Lucerne,https://www.unilu.ch/
unine.ch,CHE_switzerland,University of Neuchâtel,https://www.unine.ch/
unisg.ch,CHE_switzerland,University of St. Gallen,https://www.unisg.ch/
uantof.cl,CHL_chile,University of Antofagasta,http://www.uantof.cl/
ubiobio.cl,CHL_chile,University of the Bío-Bío,http://www.ubiobio.cl/
uchile.cl,CHL_chile,University of Chile,https://uchile.cl/
usach.cl,CHL_chile,University of Santiago,http://www.usach.cl/
utalca.cl,CHL_chile,University of Talca,http://www.utalca.cl/
uv.cl,CHL_chile,University of Valparaíso,https://uv.cl/
ahmu.edu.cn,CHN_china,Anhui Medical University,http://www.ahmu.edu.cn/
bfa.edu.cn,CHN_china,Beijing Film Academy,http://www.bfa.edu.cn
