subdomain,parent_domain,http_status,mx
www.ifmis.gov.ls,gov.ls,Could not resolve host: www.ifmis.gov.ls,none
www.intranet.gov.ls,gov.ls,Could not resolve host: www.intranet.gov.ls,none
www.judiciary.gov.ls,gov.ls,Could not resolve host: www.judiciary.gov.ls,none
www.justice.gov.ls,gov.ls,301,none
www.landcoverstats.gov.ls,gov.ls,Could not resolve host: www.landcoverstats.gov.ls,none
www.law.gov.ls,gov.ls,Could not resolve host: www.law.gov.ls,none
www.lcs.gov.ls,gov.ls,Could not resolve host: www.lcs.gov.ls,dig error
www.ldf.gov.ls,gov.ls,301,none
www.leavedefence.gov.ls,gov.ls,Could not resolve host: www.leavedefence.gov.ls,none
www.lena.gov.ls,gov.ls,Could not resolve host: www.lena.gov.ls,dig error
www.lesis.gov.ls,gov.ls,Could not resolve host: www.lesis.gov.ls,none
www.lesothocanada.gov.ls,gov.ls,Could not resolve host: www.lesothocanada.gov.ls,dig error
www.lesothoemb-usa.gov.ls,gov.ls,Could not resolve host: www.lesothoemb-usa.gov.ls,dig error
www.lesothotoday.gov.ls,gov.ls,Could not resolve host: www.lesothotoday.gov.ls,none
www.lnbs.gov.ls,gov.ls,Failed to connect to www.lnbs.gov.ls port 443 after 854 ms: Could not connect to server,none
www.localgovernment.gov.ls,gov.ls,Could not resolve host: www.localgovernment.gov.ls,none
www.lrc.gov.ls,gov.ls,Could not resolve host: www.lrc.gov.ls,none
www.lrmis.homeaffairs.gov.ls,gov.ls,Recv failure: Connexion ré-initialisée par le correspondant,none
www.lvac.gov.ls,gov.ls,Could not resolve host: www.lvac.gov.ls,none
www.mod.gov.ls,gov.ls,301,none
www.mohcdccoag.gov.ls,gov.ls,Could not resolve host: www.mohcdccoag.gov.ls,10 aspp47.odoo.com.
www.moj.gov.ls,gov.ls,Could not resolve host: www.moj.gov.ls,none
www.mopwt.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,none
www.mps.gov.ls,gov.ls,301,none
www.msmeregistry.gov.ls,gov.ls,Could not resolve host: www.msmeregistry.gov.ls,dig error
www.myfinance.gov.ls,gov.ls,Connection timed out after 3001 milliseconds,none
www.nissaportal.gov.ls,gov.ls,Could not resolve host: www.nissaportal.gov.ls,none
www.notifications.gov.ls,gov.ls,Could not resolve host: www.notifications.gov.ls,none
www.nvc.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,none
www.opc.gov.ls,gov.ls,200,none
www.passports.homeaffairs.gov.ls,gov.ls,Could not resolve host: www.passports.homeaffairs.gov.ls,dig error
www.planning.gov.ls,gov.ls,Could not resolve host: www.planning.gov.ls,dig error
www.programmeepi.gov.ls,gov.ls,Could not resolve host: www.programmeepi.gov.ls,none
www.psc.gov.ls,gov.ls,Could not resolve host: www.psc.gov.ls,none
www.publicworks.gov.ls,gov.ls,Could not resolve host: www.publicworks.gov.ls,none
www.publicworksandtransport.gov.ls,gov.ls,Could not resolve host: www.publicworksandtransport.gov.ls,none
www.renoka.gov.ls,gov.ls,Could not resolve host: www.renoka.gov.ls,none
www.renokagisdata.gov.ls,gov.ls,Could not resolve host: www.renokagisdata.gov.ls,dig error
www.rollproject.gov.ls,gov.ls,curl: (28) Resolving timed out after 5001 milliseconds,dig error
www.sampletracking.gov.ls,gov.ls,Could not resolve host: www.sampletracking.gov.ls,dig error
www.socialdevelopment.gov.ls,gov.ls,SSL certificate problem: EE certificate key too weak,none
www.sswa.gov.ls,gov.ls,Recv failure: Connexion ré-initialisée par le correspondant,none
www.tourism.ecitizen.gov.ls,gov.ls,Could not resolve host: www.tourism.ecitizen.gov.ls,dig error
www.transportprices.gov.ls,gov.ls,"curl: (60) SSL: no alternative certificate subject name matches target hostname 'www.transportprices.gov.ls' More details here: https://curl.se/docs/sslcerts.html curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it, please visit the webpage mentioned above.",none
www.vhw.gov.ls,gov.ls,Could not resolve host: www.vhw.gov.ls,none
www.youth.gov.ls,gov.ls,Could not resolve host: www.youth.gov.ls,none
youth.gov.ls,gov.ls,Resolving timed out after 3000 milliseconds,none
